"LANGUAGE","简体中文","Language name (in native language)."
"MOD_DESCRIPTION","摆件无碰撞以及其他功能","Mod description, visibile in content manager."
"OPTIONS_GENERAL","通用","Options tab title."
"TERRAIN_UPDATE","让摆件跟随地形高度","Checkbox in options panel."
"TERRAIN_UPDATE_TIP","如果选择此选项，摆件的高度将会随地形高度的变化而变化。","Checkbox tooltip in options panel."
"KEEP_ABOVEGROUND","让摆件紧贴地面","Checkbox in options panel."
"KEEP_ABOVEGROUND_TIP","如果选择此选项，当地平面高于摆件时，摆件将会被强制抬升到地平面高度。","Checkbox tooltip in options panel."
"PROP_VISIBILITY","摆件可见性","Options tab title."
"FALLBACK_DISTANCE","重置为最大可见距离","Slider in options panel."
"FALLBACK_DISTANCE_TIP","当无法计算动态显示距离时，该距离将应用为最大可见距离。","Slider tooltop in options panel."
"MIN_DISTANCE","最小可见距离","Slider in options panel."
"MIN_DISTANCE_TIP","在这个距离内，不论摆件形状大小，都是可见的。","Slider tooltop in options panel."
"DISTANCE_MULT","可见距离倍乘因子","Slider in options panel."
"DISTANCE_MULT_TIP","更改计算出的能见度范围 - 数值越高意味着能见度越高。","Slider tooltop in options panel."
"LOD_TRANSITION","LOD 过渡距离","Slider in options panel."
"LOD_TRANSITION_TIP","摆件模型将按照设定的最大可见距离（百分比数值）从正常显示过渡到 LOD。","Slider tooltop in options panel."
"ANARCHY_STATUS","摆件无碰撞：","Prop anarchy status indicator text."
"ON","开启","Prop anarchy status indicator text."
"OFF","关闭","Prop anarchy status indicator text."
"KEYS","键盘快捷键","Options panel title."
"KEY_ANARCHY","切换摆件无碰撞状态","Options panel key setting text."
"KEY_ELEVATION_UP","抬升摆件","Options panel key setting text."
"KEY_ELEVATION_DOWN","降低摆件","Options panel key setting text."
"KEY_SCALE_UP","放大摆件","Options panel key setting text."
"KEY_SCALE_DOWN","缩小摆件","Options panel key setting text."
"REPEAT_DELAY","按键重复延迟 (秒)","Options panel slider text."
